element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Tm	1	"532.1885"	"0.0005"	"532.188+"	"20"	"1.02e+06"	C+	"2.7027787"	"5.031839"	"4f13.(2F*<7/2>).5d.6s.(3D)"	"3[3/2]*"	"3/2"	""	""	"5/2"	4	6		"T6708"	"L2006"	
Tm	1	"532.3828"	"0.0005"	"532.3827+"	"100"	"2.1e+06"	C+	"2.3545103"	"4.6827173"	"4f13.(2F*<7/2>).6s.6p.(3P*<2>)"	"(7/2,2)"	"11/2"	"4f12.5d.6s.6p"	"*"	"9/2"	12	10		"T6708"	"L2006"	
Tm	1	"532.4595"	"0.0005"	"532.460+"	"120"	"4.0e+05"	B+	"1.8933629"	"4.221233"	"4f12.(3H<6>).5d<3/2>.6s2"	"(6,3/2)"	"15/2"	"4f12.(3H<6>).5d.6s.6p.(4F*<5/2>)"	"(6,5/2)*"	"15/2"	16	16		"T6708"	"L2006"	
Tm	1	"532.6503"	"0.0005"	"532.6507+"	"5"	"9.5e+04"	B	"2.1641216"	"4.4911575"	"4f12.(3H<6>).5d<3/2>.6s2"	"(6,3/2)"	"13/2"	"4f12.5d.6s.6p"	"*"	"13/2"	14	14		"T6708"	"L2006"	
Tm	1	"532.7848"	"0.0005"	"532.7851+"	"10"	"2.47e+05"	B	"2.1838154"	"4.5102641"	"4f13.(2F*<7/2>).6s.6p.(3P*<1>)"	"(7/2,1)"	"9/2"	"4f12.5d.6s.6p"	"*"	"9/2"	10	10		"T6708"	"L2006"	
Tm	1	"533.3222"	"0.0005"	"533.3220+"	"5"	"2.1e+05"	C	"2.4491628"	"4.7732696"	"4f13.(2F*<7/2>).6s.6p.(3P*<2>)"	"(7/2,2)"	"7/2"	"4f12.5d.6s.6p"	"*"	"9/2"	8	10		"T6708"	"L2006"	
Tm	1	"533.9031"	"0.0005"	"533.903+"	"250"	"1.91e+06"	B+	"2.1641216"	"4.485699"	"4f12.(3H<6>).5d<3/2>.6s2"	"(6,3/2)"	"13/2"	"4f12.(3H<6>).5d.6s.6p.(4D*<5/2>)"	"(6,5/2)*"	"15/2"	14	16		"T6708"	"L2006,L3475"	
Tm	1	"535.8782"	"0.0005"	"535.8779+"	"13"	"2.36e+05"	B	"2.3545103"	"4.6675322"	"4f13.(2F*<7/2>).6s.6p.(3P*<2>)"	"(7/2,2)"	"11/2"	"4f12.5d.6s.6p"	"*"	"13/2"	12	14		"T6708"	"L2006"	
Tm	1	""	""	"538.5160+"	""	"2.6e+06"	D+	"2.8900691"	"5.1917601"	"4f12.(3F<4>).5d<5/2>.6s2"	"(4,5/2)"	"11/2"	"4f12.5d.6s.6p"	"*"	"11/2"	12	12		"T6708"	""	
Tm	1	"538.6736"	"0.0005"	"538.674+"	"26"	"3.29e+05"	B+	"2.3176458"	"4.618663"	"4f12.(3H<6>).5d<5/2>.6s2"	"(6,5/2)"	"15/2"	"4f12.(3H<6>).5d.6s.6p.(4D*<7/2>)"	"*"	"17/2"	16	18		"T6708"	"L2006"	
Tm	1	"539.0460"	"0.0005"	"539.0461+"	"40"	"4.0e+05"	B	"2.4135586"	"4.7129859"	"4f12.(3H<6>).5d<5/2>.6s2"	"(6,5/2)"	"13/2"	"4f12.5d.6s.6p"	"*"	"13/2"	14	14		"T6708"	"L2006"	
